pitch,roll,yaw,Ax,Ay,Az,Gx,Gy,Gz
4.405281,8.76963,-148.0502,-69.96863,-1401.9077,14254.841,-0.20828247,1.527832,0.20809937
2.78336,1.3507483,-167.65651,-29.407104,-940.0133,16613.492,1.4722595,1.1374512,-1.1013794
-2.1745,-8.836144,-157.2189,146.02148,270.24115,16613.492,1.532959,0.41784668,0.5739441
-2.7577777,0.63955885,-149.51862,591.1842,30.928162,16613.492,0.8428345,1.0734558,0.57284546
3.2489588,3.0443,-151.30428,441.6136,206.35675,16613.492,1.1369019,1.0441589,-0.6622925
6.2113953,0.15349412,-134.49666,276.8324,492.8225,16613.492,1.6654358,2.019104,-0.9250488
5.2546153,9.004989,-129.57974,534.3981,-87.714294,16613.492,1.3883972,2.8813477,-1.5350647
9.98735,9.112434,-127.645706,177.96368,432.99426,16613.492,0.612854,1.3420715,-1.3601074
11.563224,5.3364787,-120.590096,-101.40381,936.4642,16613.492,0.79577637,1.1990662,-1.0424194
4.338767,13.773539,-124.0079,375.1941,-80.61603,16613.492,0.88916016,1.9567566,-0.916626
3.6326942,12.458606,-121.47013,254.01654,-60.842285,16613.492,-0.28720093,1.3894958,0.6037903
5.1113544,6.7537413,-115.04384,172.8935,540.9893,16613.492,0.07763672,1.2544556,0.7734375
0.21489176,14.924745,-122.44226,881.7061,81.630066,16613.492,1.3300781,1.2165527,-0.6043396
5.208567,15.999204,-122.1455,389.89764,583.5789,16613.492,0.9531555,1.3900452,-0.64645386
13.016301,14.402864,-116.28203,-429.95215,893.8746,16613.492,0.99591064,1.5087891,-0.29745483
6.8100224,19.273745,-120.29334,461.38733,-240.32703,16613.492,0.8493347,0.70184326,-0.12588501
6.8765364,5.8532424,-109.9683,664.19495,553.1578,16613.492,-0.013824463,1.0678711,-0.16726685
12.530236,5.162519,-103.81319,-282.4096,973.9836,16613.492,0.9239502,1.6940918,-0.9692688
1.7805318,28.242918,-122.2069,88.72833,-1103.2734,16613.492,1.2666321,1.7280579,-1.3981018
-1.9954236,-25.73073,-92.68998,-13.182495,3205.3745,15167.475,0.69039917,2.0169983,-1.0992737
